InChIKey,smiles,ic50_nm,pIC50,ID
AAAAZQPHATYWOK-JXMROGBWSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,64.0,7.1938200260161125,CHEMBL175513
AAGKMGNYUYCEPD-UHFFFAOYSA-N,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,1.6,8.795880017344075,CHEMBL2048906
AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,1248.777777777778,5.905357054138765,176870
AAWZYZGJDOSLSU-NSHDSACASA-N,COc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OC[C@@H]1CN(C)CC(=O)N1,50.0,7.301029995663981,CHEMBL3935851
ABLXXKUDDSMAHU-UHFFFAOYSA-N,OCCNCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.7,8.113509274827518,CHEMBL1923013
ADKLWTJYNHIZGI-UHFFFAOYSA-N,O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21,2.5,8.602059991327963,CHEMBL2048794
ADWBIWIWVFJDMV-UHFFFAOYSA-N,COc1ccc(-c2c(CN3CCOCC3)nc3scc(C(=O)NN)n23)cc1,78.0,7.107905397309519,CHEMBL5173449
AERGSELXAOHCKG-UHFFFAOYSA-N,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1,360.0,6.443697499232712,CHEMBL214419
AEZUIGRHDSRYGK-ONNFQVAWSA-N,COC1=CC(=CC(=C1O)CSC2=NCCS2)/C=C(\C#N)/C(=O)N,2000.0,5.698970004336019,44345288
AFHNMWQBLLGGSP-KBPBESRZSA-N,COc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OC[C@@H]1CN2CCC[C@H]2CO1,50.0,7.301029995663981,CHEMBL3922278
AFIJGEFBZOCXKC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Br)cc1,3590.0,5.444905551421681,CHEMBL1828864
AFTBNZZMNUUEFO-UHFFFAOYSA-N,Cc1cc(Nc2nc(Nc3ccccc3S(=O)(=O)C(C)C)c3c(C)[nH]nc3n2)c(OC(C)C)cc1C1CCN(C)CC1,7800.0,5.107905397309519,CHEMBL3651854
AFWYYXKXLMISDO-UHFFFAOYSA-N,CC1=CC=C(C=C1)CN2C=C(N=N2)COC3=C(C=C4C(=C3)N=CN=C4NC5=CC(=C(C=C5)F)Cl)NC(=O)C=C,158.0,6.801342913045577,155559257
AGTPOONMTANNPL-VOTSOKGWSA-N,C1COCCN1/C=C/C(=O)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=CC=C4)Br,4182.0,5.378615971518347,5328987
AIIKLMJLYXDANE-AWNIVKPZSA-N,Cc1ccc(-c2ccc3c(ccn3Cc3coc(/C=C/c4ccc(C(F)(F)F)cc4)n3)c2)cc1,34720.0,4.459420283495546,CHEMBL5172914
AILSWWUTQDGMFN-JXMROGBWSA-N,COc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,39.0,7.4089353929735005,CHEMBL179726
AITAJJAVEPMWPJ-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1OCC1CN(C)CCO1,50.0,7.301029995663981,CHEMBL3945177
ALDCNHLMTCRENB-WUXMJOGZSA-N,COC1=CC(=CC(=C1O)CSC2=CC=CC=N2)/C=C(\C#N)/C(=O)N,700.0,6.154901959985743,44345316
ALLOGFWHFYNGAI-UHFFFAOYSA-N,C1=CC(=CC(=C1)OC(F)(F)F)OC2=C(C=C(C=C2)NC3=NC=NC4=C3N(C=C4)CCO)Cl,29.0,7.537602002101044,56849702
ALUHXQXQTNRXQL-KPKJPENVSA-N,C1=CC(=CC=C1C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N)F,13600.0,4.866461091629782,5328761
AMGFBSMVLAHKRN-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(F)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,8540.0,5.068542129310995,CHEMBL3747152
AMKFBXVTNZFKFF-UHFFFAOYSA-N,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)nn1)NO,16.4,7.785156151952302,CHEMBL3911796
ANSWUIBOAMGTKA-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,4100.0,5.3872161432802645,CHEMBL3747277
ANZYWSJBWOVPCD-UHFFFAOYSA-N,CC(=O)N1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1.Cc1ccc(S(=O)(=O)O)cc1,6.8,8.167491087293763,CHEMBL3436359
APCFVCIEZAMJBU-FQEVSTJZSA-N,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@H]6CCCNC6)c45)ccc32)c1,170.0,6.769551078621726,CHEMBL246073
AQFZJOYINHZVKG-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(CN5C(=O)c6ccccc6C5=O)cc4)c23)c1,55.0,7.259637310505756,CHEMBL4740009
AQRKNLISUDWHED-UHFFFAOYSA-N,CC[n+]1c(/C=C/c2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)s2)sc2ccccc21.[I-],105.0,6.978810700930062,CHEMBL5440662
AQXIMVWUURMKKC-UHFFFAOYSA-N,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)NC2=O)C3=CNC4=C3C=C(C=C4)Br,13316.0,4.87562621351537,46231221
